plot,sitetype,H,Hs,Hc,Hc^1.9186,0.0003*Hc^1.9186,0.0004*Hc^1.8636,Hc^1.8,0.0005*Hc^1.8,Hb,DBH,BA,Sum.of.Bi.L,Ab,Ac,Wb,Ws,Wba,Wf,Wab,DC,cr,Age,Wf
266,3,12.68,7.06,5.62,27.44379048,0.008233137,0.009983173,22.3627582,0.011181379,1.595313944,0.138,0.014957123,0.03745443,0.02347778,0.010745865,16.52630809,37.11457953,5.466707806,5.820223297,64.92781873,0.117,0.443217666,33,2.910111649
267,3,9.67,2.3,7.37,46.16609301,0.013849828,0.016545214,36.42851588,0.018214258,2.083092251,0.155,0.018869191,0.094565202,0.04539655,0.020347985,36.43241145,32.005718,6.597933137,11.42876508,86.46482766,0.161,0.762150982,31,5.71438254
267,3,7.06,2.75,4.31,16.4933202,0.004947996,0.006087961,13.86944512,0.006934723,1.4909039,0.111,0.009676891,0.029234411,0.019608515,0.007693785,13.34538846,10.97486175,3.011409918,3.763204038,31.09486416,0.099,0.610481586,24,1.881602019
267,3,6.48,1.5,4.98,21.76227114,0.006528681,0.007969234,17.98924004,0.00899462,1.385118069,0.1015,0.008091368,0.024153675,0.01743799,0.008903666,12.83223008,9.705158351,1.947944309,3.642465862,28.1277986,0.1065,0.768518519,22,1.821232931
201,4,3.68,0.23,3.45,10.76117554,0.003228353,0.004021052,9.29125482,0.004645627,1.052428604,0.053,0.002206183,0.006365535,0.006048425,0.005024,2.726558446,1.853277604,0.605339942,1.729871151,6.915047143,0.08,0.9375,20,0.864935576
201,4,3.27,0.64,2.63,6.393329667,0.001917999,0.002424876,5.700597097,0.002850299,0.741449608,0.05,0.001963495,0.003572549,0.00481833,0.00362984,1.772189296,1.451135097,0.592090898,1.263396537,5.078811828,0.068,0.804281346,20,0.631698269
201,4,3.84,0.53,3.31,9.93898394,0.002981695,0.003722301,8.623635443,0.004311818,0.979133961,0.0625,0.003067962,0.006763089,0.006907215,0.00580586,3.286488279,2.472431851,0.93755172,1.47900599,8.175477839,0.086,0.861979167,21,0.739502995
203,4,9.62,4.11,5.51,26.42247268,0.007926742,0.009622105,21.58106526,0.010790533,1.561760909,0.122,0.011689866,0.040936775,0.026211935,0.010654216,16.20260389,20.83956644,5.150531486,4.631619999,46.82432181,0.1165,0.572765073,32,2.31581
203,4,8.11,2.75,5.36,25.05968257,0.007517905,0.009139691,20.53509051,0.010267545,1.287865444,0.076,0.00453646,0.013369125,0.01038084,0.003683416,4.878551473,6.023846691,1.468932014,1.458956178,13.83028636,0.0685,0.660912454,28,0.729478089
203,4,12.01,4.17,7.84,51.97982318,0.015593947,0.018565532,40.71635693,0.020358178,2.292488898,0.189,0.028055208,0.128984802,0.05626409,0.02215584,55.56188949,50.52809773,11.415476,12.79216247,130.2976257,0.168,0.652789342,34,6.396081235
204,4,7.95,2.31,5.64,27.63147629,0.008289443,0.010049483,22.50621105,0.011253106,1.557435427,0.1355,0.014420107,0.041806356,0.026843075,0.013781656,19.99569802,17.46892091,4.352944542,7.000335873,48.81789935,0.1325,0.709433962,29,3.500167937
204,4,7.76,3.01,4.75,19.87487287,0.005962462,0.007297031,16.52146282,0.008260731,1.278302688,0.0935,0.006866147,0.019636858,0.015361665,0.006217985,7.245976167,9.472609516,2.280773675,3.120723102,22.12008246,0.089,0.612113402,26,1.560361551
206,3,23.62,10.3,13.32,143.7056375,0.043111691,0.049852399,105.7079388,0.052853969,2.471193333,0.3175,0.079173044,0.18450457,0.074662135,0.044652566,74.61649672,317.646257,46.86014827,14.05610931,453.1790113,0.2385,0.563928874,89,7.028054655
206,3,24.42,15.32,9.1,69.18577582,0.020755733,0.024509222,53.24446973,0.026622235,2.486939041,0.308,0.074506011,0.22959793,0.092321495,0.02893824,89.06600806,365.2961052,35.74760652,14.06987908,504.1795989,0.192,0.372645373,100,7.03493954
209,3,14.46,9.07,5.39,25.32947597,0.007598843,0.009235253,20.74243689,0.010371218,1.672891411,0.136,0.014526724,0.045998148,0.027496195,0.005873566,17.20772643,37.54971946,9.583182596,2.846105623,67.18673411,0.0865,0.37275242,43,1.423052812
211,4,9.64,2.5,7.14,43.44155766,0.013032467,0.015595955,34.40779018,0.017203895,1.593402475,0.1375,0.014848934,0.040167613,0.025208705,0.013063185,18.70761378,25.01137651,5.000344483,7.19646932,55.91580409,0.129,0.7406639,29,3.59823466
211,4,8.73,3.66,5.07,22.52310548,0.006756932,0.008239727,18.57865743,0.009289329,1.342301263,0.1145,0.010296766,0.025960167,0.019340045,0.00723456,13.08494426,14.8074352,3.803190833,4.354760137,36.05033043,0.096,0.580756014,29,2.177380069
213,4,11.42,6.19,5.23,23.90657386,0.007171972,0.008730915,19.64730739,0.009823654,1.05954974,0.081,0.005152997,0.007623789,0.00719531,0.002374625,1.630889821,10.89321218,2.779468856,0.864158546,16.16772941,0.055,0.457968476,45,0.432079273
214,4,9.25,4.31,4.94,21.42814242,0.006428443,0.007850359,17.72999071,0.008864995,1.288849294,0.109,0.009331316,0.02256701,0.017509425,0.006288046,9.530439835,15.41202254,3.159267525,3.509067375,31.61079727,0.0895,0.534054054,31,1.754533688
215,3,16.41,3.95,12.46,126.4331377,0.037929941,0.044021761,93.74162467,0.046870812,2.325690366,0.259,0.052685294,0.148444979,0.06382835,0.044652566,61.24909252,159.2081715,25.55489608,18.90753559,264.9196957,0.2385,0.759293114,60,9.453767795
252,4,7.2,2.72,4.48,17.76405044,0.005329215,0.006543072,14.86963901,0.00743482,1.529656506,0.113,0.010028749,0.027071593,0.017697825,0.006789465,13.16169871,11.19325047,2.648218656,2.949972126,29.95313996,0.093,0.622222222,26,1.474986063
252,4,6.48,2.28,4.2,15.69517233,0.004708552,0.005801594,13.23880309,0.006619402,1.387801747,0.103,0.008332289,0.028649682,0.02064393,0.00723456,12.5733432,9.061800779,2.502649083,4.057344979,28.19513804,0.096,0.648148148,26,2.02867249
252,4,6.85,3.36,3.49,11.00182833,0.003300548,0.004108369,9.486057843,0.004743029,1.074573688,0.0745,0.004359156,0.011361645,0.010573165,0.002826,4.99470072,5.747241878,1.495996496,1.541499714,13.77943881,0.06,0.509489051,27,0.770749857
253,4,6.11,0.76,5.35,24.97005887,0.007491018,0.009107939,20.46618086,0.01023309,1.493318871,0.103,0.008332289,0.028464704,0.01906137,0.011588366,14.35668203,9.25769782,2.251589854,6.922705596,32.7886753,0.1215,0.875613748,23,3.461352798
253,4,5.42,1.47,3.95,13.95183038,0.004185549,0.005174619,11.85426884,0.005927134,1.246251039,0.1015,0.008091368,0.022624329,0.01815391,0.008987465,11.02092372,7.521553196,2.386902946,4.474879995,25.40425985,0.107,0.728782288,23,2.237439998
253,4,5.12,0.7,4.42,17.31040249,0.005193121,0.006380709,14.51309656,0.007256548,1.321013491,0.0935,0.006866147,0.022659391,0.017153035,0.009071656,10.53095767,6.228496778,1.866460731,4.035045024,22.66096021,0.1075,0.86328125,22,2.017522512
254,4,14.11,9.32,4.79,20.19722558,0.006059168,0.007411963,16.7727365,0.008386368,1.593475276,0.1775,0.024744951,0.058374728,0.036633595,0.006716656,19.6009901,67.98118478,13.12686101,3.890745904,104.5997818,0.0925,0.339475549,78,1.945372952
257,3,13.42,5.15,8.27,57.5872143,0.017276164,0.020507998,44.82392855,0.022411964,1.389527235,0.128,0.012867964,0.027494172,0.01978671,0.008737246,11.27575234,34.24639393,5.10076846,5.43802784,56.06094257,0.1055,0.616244411,66,2.71901392
260,4,14.74,7.38,7.36,46.04598573,0.013813796,0.016503402,36.33959357,0.018169797,1.471001982,0.1455,0.016627075,0.031906526,0.021690335,0.008903666,11.26567166,55.7327083,6.92735299,6.376644663,80.30237761,0.1065,0.499321574,71,3.188322332
260,4,17.21,9.04,8.17,56.25864108,0.016877592,0.020048275,43.85303966,0.02192652,2.303324277,0.245,0.047143525,0.173269331,0.075225765,0.024454516,72.07930741,135.7358406,23.70890308,14.16560076,245.6896518,0.1765,0.474723998,79,7.08280038
260,4,12.84,5.59,7.25,44.73469693,0.013420409,0.016046706,35.36782979,0.017683915,1.70422307,0.16,0.020106193,0.045487052,0.026690785,0.013781656,23.00838649,50.47090037,9.441205247,10.8452234,93.76571551,0.1325,0.564641745,77,5.4226117
260,4,14.59,7.36,7.23,44.49823008,0.013349469,0.015964309,35.19240404,0.017596202,1.481547374,0.1395,0.015284045,0.031824734,0.02148074,0.009241216,13.04325885,42.73579289,7.44500367,5.055324658,68.27938007,0.1085,0.495544894,69,2.527662329
261,4,6.97,1.85,5.12,22.95119734,0.006885359,0.008391807,18.90975621,0.009454878,1.189484194,0.096,0.007238229,0.014322716,0.012041115,0.00664424,7.082509325,8.706883283,2.186932654,3.097300421,21.07362568,0.092,0.734576758,28,1.548650211
261,4,6.27,2.11,4.16,15.40963898,0.004622892,0.005699048,13.01271731,0.006506359,0.885112159,0.067,0.003525652,0.005436912,0.006142625,0.003115665,1.834180897,4.448642033,0.994008148,1.11325215,8.390083227,0.063,0.663476874,27,0.556626075
261,4,6.02,2.1,3.92,13.74923859,0.004124772,0.005101618,11.69270306,0.005846352,1.060239134,0.088,0.006082123,0.012225474,0.011530865,0.005473216,6.458069848,7.920776357,1.889432305,2.566808313,18.83508682,0.0835,0.651162791,34,1.283404157
266,3,12.91,7.51,5.4,25.41971445,0.007625914,0.00926721,20.81175802,0.010405879,1.701788496,0.18,0.0254469,0.05027541,0.02954269,0.0132665,23.86560598,52.60937482,10.51961242,7.089629503,94.08422272,0.13,0.418280403,35,3.544814752
267,3,5.11,1.59,3.52,11.18398959,0.003355197,0.004174427,9.633337908,0.004816669,1.036092323,0.05,0.001963495,0.003833236,0.003699705,0.002205065,1.949266684,2.097360549,0.499292281,0.646836163,5.192755677,0.053,0.688845401,23,0.323418082
267,3,6.02,3.26,2.76,7.013392827,0.002104018,0.002653006,6.217794261,0.003108897,0.882365161,0.057,0.002551759,0.003826928,0.004337125,0.001923446,2.493486009,3.304521051,0.79147437,0.922251811,7.511733241,0.0495,0.458471761,23,0.461125906
19,4,4.12,1.01,3.11,8.818811959,0.002645644,0.00331412,7.708479118,0.00385424,0.836656127,0.0665,0.003473227,0.004454905,0.005324655,0.0038465,2.295718307,2.656428714,0.843577644,1.509447612,7.305172278,0.07,0.754854369,21,0.754723806
19,4,3.3,0.9,2.4,5.363808799,0.001609143,0.002044663,4.834819166,0.00241741,0.820479633,0.051,0.002042821,0.003274485,0.00399094,0.00283,1.611147892,1.391110713,0.397642968,0.169171332,3.569072906,0.06,0.727272727,20,0.084585666
19,4,5.17,1.05,4.12,15.12661658,0.004537985,0.00559735,12.78836399,0.006394182,1.177533733,0.086,0.005808805,0.012381856,0.010515075,0.006789465,6.303339468,5.437655636,1.309189562,3.241518129,16.2917028,0.093,0.796905222,22,1.620759065
35,4,7.75,2.6,5.15,23.20990429,0.006962971,0.008483673,19.10966229,0.009554831,1.242686702,0.101,0.008011847,0.013796625,0.011102255,0.006572216,10.15938511,11.5826664,2.451985089,3.733222733,27.92725934,0.0915,0.664516129,25,1.866611367
35,4,6.85,2.58,4.27,16.20089178,0.004860268,0.005983088,13.63861202,0.006819306,1.183712085,0.111,0.009676891,0.013720774,0.01159131,0.00693626,10.5033293,10.55018479,3.360122309,4.563438551,28.97707495,0.094,0.623357664,25,2.281719276
35,4,6.54,2.27,4.27,16.20089178,0.004860268,0.005983088,13.63861202,0.006819306,0.961949055,0.093,0.006792909,0.006733494,0.006999845,0.005671625,6.431777801,7.849579746,1.734090187,2.782308508,18.79775624,0.085,0.652905199,25,1.391154254
35,4,6.36,2.22,4.14,15.26781379,0.004580344,0.005648093,12.90032388,0.006450162,1.343382957,0.118,0.010935884,0.016900308,0.01258041,0.010023665,12.31809597,11.74800998,2.668319337,4.456539579,31.19096487,0.113,0.650943396,25,2.22826979
41,3,4.59,0.7,3.89,13.54806604,0.00406442,0.005029098,11.53212344,0.005766062,1.162587813,0.083,0.005410608,0.01070973,0.009211975,0.007462406,6.775209305,4.776500302,1.021408895,3.538024222,16.11114272,0.0975,0.847494553,42,1.769012111
41,3,3.61,0.76,2.85,7.458737936,0.002237621,0.002816494,6.587501817,0.003293751,0.693285341,0.0515,0.002083072,0.002207937,0.003184745,0.00264074,1.389685268,1.526732256,0.4010697,1.0626149,4.380102124,0.058,0.789473684,18,0.53130745
41,3,5.18,0.87,4.31,16.4933202,0.004947996,0.006087961,13.86944512,0.006934723,1.180585977,0.086,0.005808805,0.013187795,0.01117055,0.008087266,8.695470652,5.85233081,1.333023828,3.922030035,19.80285533,0.1015,0.832046332,19,1.961015018
41,3,3.18,0.49,2.69,6.676098327,0.002002829,0.002528986,5.93682304,0.002968412,0.879543273,0.0535,0.002248006,0.005475201,0.00622505,0.00453416,3.294258245,1.636587144,0.705961739,2.116362894,7.753170021,0.076,0.84591195,17,1.058181447
41,3,3.37,0.2,3.17,9.14812943,0.002744439,0.003434267,7.978232201,0.003989116,0.931821767,0.061,0.002922467,0.005187657,0.00556722,0.005873566,3.328534005,2.165139721,0.741995051,2.060926491,8.296595268,0.0865,0.940652819,16,1.030463246
23,4,4.12,1.06,3.06,8.548799449,0.00256464,0.003215514,7.48684027,0.00374342,1.140656315,0.0745,0.004359156,0.009483342,0.008313935,0.005671625,5.449627143,3.552053978,1.144226486,3.053047098,13.1989547,0.085,0.742718447,21,1.526523549
23,4,4.16,1.14,3.02,8.335685503,0.002500706,0.003137624,7.311601232,0.003655801,1.063759432,0.0735,0.004242917,0.007379347,0.006937045,0.005407865,3.98194991,3.025234488,1.002748097,2.221357583,10.23129008,0.083,0.725961539,21,1.110678792
23,4,3.68,0.37,3.31,9.93898394,0.002981695,0.003722301,8.623635443,0.004311818,0.96501625,0.05,0.001963495,0.005094441,0.005279125,0.003901646,2.466550394,1.633869881,0.618997759,1.623031758,6.342449792,0.0705,0.899456522,19,0.811515879
23,4,4.58,0.82,3.76,12.69274045,0.003807822,0.004720414,10.84771136,0.005423856,1.041666353,0.0775,0.004717298,0.006182691,0.005935385,0.005671625,3.362829161,3.621444967,1.124947834,1.974263908,10.08348587,0.085,0.820960699,22,0.987131954
23,4,5.63,1.17,4.46,17.61221019,0.005283663,0.006488741,14.75036427,0.007375182,1.404089377,0.1175,0.010843403,0.0218932,0.015592455,0.011398396,11.95154855,9.709756268,2.388156469,7.0132179,31.06267919,0.1205,0.792184725,30,3.50660895
27,4,8.9,4.27,4.63,18.9227255,0.005676818,0.006957236,15.77777592,0.007888888,0.929589668,0.0815,0.005216811,0.004406097,0.00473983,0.003316625,3.917388869,8.706982002,1.499873837,1.175651584,15.29989629,0.065,0.520224719,37,0.587825792
27,4,6.55,1.8,4.75,19.87487287,0.005962462,0.007297031,16.52146282,0.008260731,0.97310105,0.077,0.004656626,0.005195177,0.005338785,0.004013116,2.638434931,4.251897247,1.644327582,0.927188626,9.461848386,0.0715,0.72519084,27,0.463594313
27,4,5.64,0.37,5.27,24.2586063,0.007277582,0.008855768,19.91861362,0.009959307,0.774265842,0.071,0.003959192,0.002697411,0.00348383,0.004899185,2.659836007,4.315613211,1.031874164,2.643523652,10.65084703,0.079,0.934397163,65,1.321761826
27,4,5.49,0.48,5.01,22.01449162,0.006604347,0.008058934,18.18477394,0.009092387,0.741037384,0.055,0.002375829,0.002269849,0.00306307,0.003265796,1.779972666,2.649910826,0.752946453,1.42858504,6.611414985,0.0645,0.912568306,27,0.71429252
